day,iml,night
4.05027678669e-06,3.0,6.75046131114e-06
7.92247849897e-06,3.5,1.32041308316e-05
1.70551138229e-05,4.0,2.84251897048e-05
4.1228628351e-05,4.5,6.87143805849e-05
0.000112821668703,5.0,0.000188036114505
0.000343794860878,5.5,0.000572991434797
0.00110977552914,6.0,0.0018496258819
0.00351113331389,6.5,0.00585188885648
0.0100617071449,7.0,0.0167695119082
0.0248995711981,7.5,0.0414992853302
0.0527458295916,8.0,0.0879097159859
0.096256121681,8.5,0.160426869468
0.151346648171,9.0,0.252244413618
0.205579971968,9.5,0.342633286613
0.246792701165,10.0,0.411321168608
