0,1,2,3,4,5,iml
0.0846292901914,0.00975291739123,0.000992724279555,5.71379591768e-05,8.85274575646e-07,1.43066447578e-10,3.0
0.134791807882,0.0170718373182,0.0018503093619,0.000112955872246,1.8755969442e-06,3.42212924664e-10,3.5
0.214093980798,0.0310995041381,0.00369673158243,0.000246167559656,4.52845879295e-06,9.88862214335e-10,4.0
0.333753725713,0.0587684224052,0.00797416824249,0.000601937154004,1.28421407567e-05,3.63831165195e-09,4.5
0.496961353983,0.113087451335,0.0184191531469,0.00165600514766,4.34833123951e-05,1.77585908201e-08,5.0
0.683049752895,0.21313871642,0.0440659682399,0.00499775184062,0.000173284770253,1.15701443537e-07,5.5
0.844861816898,0.372412792212,0.102737535265,0.0155577040191,0.00076566331965,9.5350817364e-07,6.0
0.943893102198,0.573209483786,0.216702391367,0.0457065021135,0.00338797712945,8.80991961227e-06,6.5
0.985047721359,0.761729675723,0.390456411661,0.116433203505,0.013428635713,7.82749001305e-05,7.0
0.996958419071,0.892087257806,0.591560766721,0.245631791867,0.044199718916,0.000592037906514,7.5
0.999511860017,0.960392984587,0.770017271806,0.428302453613,0.117910431069,0.00360601752073,8.0
0.999936715863,0.988209704014,0.89309216642,0.628942478511,0.254944787902,0.0172859567317,8.5
0.999992951027,0.997070504775,0.958745821245,0.797580030178,0.447331158916,0.0629926886829,9.0
0.999999233568,0.999341310637,0.986097268157,0.905285942502,0.646018820506,0.168820459524,9.5
0.99999990521,0.999849986374,0.995536711893,0.959614674455,0.799456381127,0.335342420525,10.0
